"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","STINT","TOT","PC_PA","M","2005-01",0.1,
"JPN","STINT","TOT","PC_PA","M","2005-02",0.1,
"JPN","STINT","TOT","PC_PA","M","2005-03",0.08,
"JPN","STINT","TOT","PC_PA","M","2005-04",0.08,
"JPN","STINT","TOT","PC_PA","M","2005-05",0.08,
"JPN","STINT","TOT","PC_PA","M","2005-06",0.09,
"JPN","STINT","TOT","PC_PA","M","2005-07",0.09,
"JPN","STINT","TOT","PC_PA","M","2005-08",0.09,
"JPN","STINT","TOT","PC_PA","M","2005-09",0.09,
"JPN","STINT","TOT","PC_PA","M","2005-10",0.09,
"JPN","STINT","TOT","PC_PA","M","2005-11",0.09,
"JPN","STINT","TOT","PC_PA","M","2005-12",0.1,
"JPN","STINT","TOT","PC_PA","M","2006-01",0.1036,
"JPN","STINT","TOT","PC_PA","M","2006-02",0.11,
"JPN","STINT","TOT","PC_PA","M","2006-03",0.1255,
"JPN","STINT","TOT","PC_PA","M","2006-04",0.14,
"JPN","STINT","TOT","PC_PA","M","2006-05",0.27,
"JPN","STINT","TOT","PC_PA","M","2006-06",0.35,
"JPN","STINT","TOT","PC_PA","M","2006-07",0.44,
"JPN","STINT","TOT","PC_PA","M","2006-08",0.432,
"JPN","STINT","TOT","PC_PA","M","2006-09",0.436,
"JPN","STINT","TOT","PC_PA","M","2006-10",0.447,
"JPN","STINT","TOT","PC_PA","M","2006-11",0.502,
"JPN","STINT","TOT","PC_PA","M","2006-12",0.54,
"JPN","STINT","TOT","PC_PA","M","2007-01",0.54,
"JPN","STINT","TOT","PC_PA","M","2007-02",0.66,
"JPN","STINT","TOT","PC_PA","M","2007-03",0.66,
"JPN","STINT","TOT","PC_PA","M","2007-04",0.65,
"JPN","STINT","TOT","PC_PA","M","2007-05",0.67,
"JPN","STINT","TOT","PC_PA","M","2007-06",0.73,
"JPN","STINT","TOT","PC_PA","M","2007-07",0.77,
"JPN","STINT","TOT","PC_PA","M","2007-08",0.84,
"JPN","STINT","TOT","PC_PA","M","2007-09",0.85,
"JPN","STINT","TOT","PC_PA","M","2007-10",0.85,
"JPN","STINT","TOT","PC_PA","M","2007-11",0.87,
"JPN","STINT","TOT","PC_PA","M","2007-12",0.86,
"JPN","STINT","TOT","PC_PA","M","2008-01",0.85,
"JPN","STINT","TOT","PC_PA","M","2008-02",0.85,
"JPN","STINT","TOT","PC_PA","M","2008-03",0.84,
"JPN","STINT","TOT","PC_PA","M","2008-04",0.84,
"JPN","STINT","TOT","PC_PA","M","2008-05",0.84,
"JPN","STINT","TOT","PC_PA","M","2008-06",0.86,
"JPN","STINT","TOT","PC_PA","M","2008-07",0.85,
"JPN","STINT","TOT","PC_PA","M","2008-08",0.85,
"JPN","STINT","TOT","PC_PA","M","2008-09",0.87,
"JPN","STINT","TOT","PC_PA","M","2008-10",0.89,
"JPN","STINT","TOT","PC_PA","M","2008-11",0.88,
"JPN","STINT","TOT","PC_PA","M","2008-12",0.74,
"JPN","STINT","TOT","PC_PA","M","2009-01",0.72,
"JPN","STINT","TOT","PC_PA","M","2009-02",0.71,
